Company,Bond_ID,Issue_Date,Maturity_Date,Coupon_Rate,Face_Value,Market_Price,Credit_Rating,Yield_to_Maturity,Liquidity_Score,ESG_Score,Trading_Volume,Bid_Ask_Spread,Market_Cap,Debt_to_Equity,Sector,Issuer_ID
SX-Aerospace,BOND_016_00,2019-08-11,2029-08-11,4.7,25000,24000.25,A-,5.1,77.3,75.9,33000,0.12,3300000000,1.0,Industrial,6ba7b81f-9dad-11d1-80b4-00c04fd430c8
SX-Automotive,BOND_017_00,2021-04-05,2031-04-05,5.4,50000,47000.00,BBB+,6.3,71.5,72.8,27000,0.17,2700000000,1.4,Industrial,6ba7b820-9dad-11d1-80b4-00c04fd430c8
SX-Shipbuilding,BOND_018_00,2020-07-16,2032-07-16,5.8,25000,23000.75,BB,7.2,61.2,65.4,15000,0.28,1500000000,1.9,Industrial,6ba7b821-9dad-11d1-80b4-00c04fd430c8
SX-Construction,BOND_019_00,2019-10-22,2027-10-22,4.1,10000,9800.00,A,4.4,83.9,78.1,36000,0.11,3600000000,0.8,Industrial,6ba7b822-9dad-11d1-80b4-00c04fd430c8
SX-RetailChain,BOND_020_00,2020-06-03,2028-06-03,4.2,10000,9750.25,A,4.6,80.7,76.5,34000,0.12,3400000000,0.9,Consumer Goods,6ba7b823-9dad-11d1-80b4-00c04fd430c8
SX-FoodBrand,BOND_021_00,2021-02-14,2031-02-14,4.9,25000,23800.50,A-,5.3,75.8,74.2,29000,0.15,2900000000,1.2,Consumer Goods,6ba7b824-9dad-11d1-80b4-00c04fd430c8
SX-BeverageCo,BOND_022_00,2019-12-08,2029-12-08,4.0,10000,9850.75,AA,4.2,87.3,80.1,52000,0.07,5200000000,0.6,Consumer Goods,6ba7b825-9dad-11d1-80b4-00c04fd430c8
SX-ClothingBrand,BOND_023_00,2020-09-19,2030-09-19,5.0,25000,24000.00,BBB+,5.7,72.1,73.5,26000,0.16,2600000000,1.3,Consumer Goods,6ba7b826-9dad-11d1-80b4-00c04fd430c8
SX-ElectronicsRetail,BOND_024_00,2021-05-27,2026-05-27,3.7,10000,9900.50,AA+,3.8,90.2,81.8,61000,0.05,6100000000,0.5,Consumer Goods,6ba7b827-9dad-11d1-80b4-00c04fd430c8
SX-HospitalChain,BOND_025_00,2020-03-12,2030-03-12,4.5,10000,9700.25,A,4.8,79.6,78.9,32000,0.13,3200000000,0.8,Healthcare,6ba7b828-9dad-11d1-80b4-00c04fd430c8
SX-Pharmaceutical,BOND_026_00,2019-07-25,2029-07-25,4.1,25000,24200.00,AA,4.4,82.7,79.5,41000,0.09,4100000000,0.7,Healthcare,6ba7b829-9dad-11d1-80b4-00c04fd430c8
SX-Biotech,BOND_027_00,2021-01-30,2031-01-30,5.6,50000,46500.75,BBB,6.5,68.9,71.8,21000,0.21,2100000000,1.5,Healthcare,6ba7b82a-9dad-11d1-80b4-00c04fd430c8
SX-MedicalDevice,BOND_028_00,2020-11-08,2028-11-08,4.3,10000,9750.50,A,4.6,81.2,77.6,35000,0.11,3500000000,0.9,Healthcare,6ba7b82b-9dad-11d1-80b4-00c04fd430c8
SX-HealthInsurance,BOND_029_00,2019-05-17,2027-05-17,3.9,25000,24300.25,AA+,4.1,86.4,80.7,48000,0.07,4800000000,0.6,Healthcare,6ba7b82c-9dad-11d1-80b4-00c04fd430c8
